tunnel_num s t edges
497 10 3 10-16,16-1,1-5,5-4,4-2,2-3
498 7 2 7-6,6-4,4-2
499 7 2 7-6,6-1,1-5,5-4,4-2
500 7 2 7-0,0-3,3-2
501 7 2 7-6,6-15,15-14,14-13,13-16,16-9,9-2
502 7 2 7-6,6-1,1-16,16-9,9-2
503 7 2 7-6,6-15,15-14,14-5,5-4,4-2
504 6 14 6-1,1-5,5-14
505 6 14 6-4,4-5,5-14
506 6 14 6-15,15-14
507 6 14 6-7,7-0,0-3,3-2,2-9,9-16,16-13,13-14
508 6 14 6-4,4-8,8-11,11-12,12-13,13-14
509 6 14 6-1,1-16,16-13,13-14
510 12 2 12-13,13-16,16-9,9-2
511 12 2 12-11,11-8,8-4,4-2
512 12 2 12-13,13-14,14-5,5-4,4-2
513 12 2 12-11,11-10,10-16,16-9,9-2
514 12 2 12-13,13-16,16-1,1-6,6-7,7-0,0-3,3-2
515 12 2 12-13,13-14,14-15,15-6,6-4,4-2
516 11 10 11-10
517 11 10 11-12,12-13,13-16,16-10
518 11 10 11-8,8-4,4-2,2-9,9-16,16-10
519 11 10 11-8,8-4,4-6,6-1,1-16,16-10
520 11 10 11-12,12-13,13-14,14-5,5-1,1-16,16-10
521 11 10 11-8,8-4,4-5,5-1,1-16,16-10
522 7 15 7-6,6-15
523 7 15 7-6,6-1,1-5,5-14,14-15
524 7 15 7-0,0-3,3-2,2-4,4-5,5-14,14-15
525 7 15 7-6,6-1,1-16,16-13,13-14,14-15
526 7 15 7-0,0-3,3-2,2-4,4-6,6-15
527 7 15 7-6,6-4,4-5,5-14,14-15
528 14 5 14-5
529 14 5 14-15,15-6,6-1,1-5
530 14 5 14-15,15-6,6-4,4-5
531 14 5 14-13,13-16,16-1,1-5
532 14 5 14-13,13-12,12-11,11-8,8-4,4-5
533 14 5 14-13,13-16,16-9,9-2,2-4,4-5
534 13 3 13-16,16-9,9-2,2-3
535 13 3 13-14,14-5,5-4,4-2,2-3
